i,controlada?,nome,razão social,cnpj,valor da empresa i pela Valor (vendas),valor da empresa i pela Economatica (vendas),valor indireto (das empresas em que i tem participação),valor total (valor da empresa i + valor indireto),indicador de poder da empresa i,fonte dos dados da empresa i,poder direto - controle,poder direto - parcial,poder indireto - controle,poder indireto - parcial,composição acionária direta,Estatal ou Privada?
1,"",Uniao Federal (Tesouro Nacional),Uniao Federal (Tesouro Nacional),'',-,-,297584.55,297584.55,0.00,Economatica associado,Amazonia (96.92%) Nord Brasil (96.12%) Telebras (90.78%) Brasil (51.78%) Eletrobras (50.87%) Petrobras (50.24%),Eletropaulo (20.03%),Eletropar (controlada por Eletrobras) Petroquisa (controlada por Petrobras),"Eletrobras => {Eletropar (83.72%, final=42.59%), Celpa (34.79%, final=17.70%), Cemar (33.48%, final=17.03%), Ceee-D (32.23%, final=16.39%), Ceee-Gt (32.23%, final=16.39%), Tran Paulist (9.67%, final=4.92%), Cemat (5.14%, final=2.62%), AES Tiete (0.08%, final=0.04%), Cesp (0.03%, final=0.02%), Celpe (0.03%, final=0.02%), Celesc (0.03%, final=0.01%)}
Petrobras => {Petroquisa => {Copesul (15.63%, final=7.85%)}, Braskem => {Quattor Petr (100.00%, final=23.63%)}}","",
2,sim,Petrobras,Petrobras,'33000167000101',244176.00,244176.14,15603.29,259779.43,0.00,Economatica,Petroquisa (100.00%),Braskem (47.03%),"","Petroquisa => {Copesul (15.63%, final=15.63%)}
Braskem => {Quattor Petr (100.00%, final=47.03%)}",Uniao Federal (Tesouro Nacional) (50.24%) FPS Fundo de Participacao Social (6.02%) Bndespar - BNDES Participacoes SA (2.33%),
3,"",Valepar S.A.,Valepar S.A.,'',-,-,103416.50,103416.50,0.00,Economatica associado,Vale (53.88%),"",Caemi (controlada por Vale),"Vale => {Caemi (100.00%, final=53.88%), Log-In (33.56%, final=18.08%)}","",
4,sim,Vale,Vale S.A.,'33592510000154',103195.00,103195.41,221.10,103416.50,0.00,Economatica,Caemi (100.00%),Log-In (33.56%),"","",Valepar S.A. (53.88%) Bndespar - BNDES Participacoes SA (6.86%) Acoes em Tesouraria (2.73%) Aberdeen Asset Management Plc (0.04%),
5,"",Gerdau Met,Gerdau Met,'92690783000109',-,35406.78,35406.78,70813.56,0.00,Economatica,Gerdau (76.84%),"","","",Indac Ind. Adm. e Comercio S.A. (39.00%) Grupo Gerdau Empreendimentos Ltda (26.29%) Banco J. P. Morgan S.A. (7.69%),
6,"",Pão de Açúcar,Pão de Açúcar,'',46594.50,-,21016.72,67611.22,0.00,Valor,Viavarejo (52.41%),"","","","",
7,"",JBS,JBS S.A.,'02916265000160',61796.80,61796.76,-,61796.76,0.00,Economatica,"","","","",Fb Participacoes S.A. (42.36%) Bndespar - BNDES Participacoes SA (29.71%) Prot - Fundo de Invest. em Participacoes (3.47%) Acoes em Tesouraria (3.29%) Banco Original SA (2.13%),
8,"",Bndespar - BNDES Participacoes SA,Bndespar - BNDES Participacoes SA,'',-,-,52830.53,52830.53,0.00,Economatica associado,"",Tupy (35.77%) Fibria (30.44%) Chapeco (30.12%) JBS (29.71%) Senior Sol (27.36%) Copel (26.41%) Paranapanema (17.23%) Eletrobras (16.63%) Marfrig (13.94%) Light (13.51%) Ienergia (13.33%) Renova (13.33%) All Amer Lat (12.22%) Sam Industr (11.00%) MPX Energia (10.35%) Lupatech (9.07%) Bematech (8.68%) CPFL Energia (8.42%) Inds Romi (7.36%) Vale (6.86%) Iochp-Maxion (6.79%) Gerdau (6.63%) Embraer (5.48%) Petrobras (2.33%) Inepar (2.28%) Oi (0.90%) Brasil (0.13%) AES Elpa (0.00%) AES Tiete (0.00%),"","Fibria => {Aracruz (16.95%, final=5.16%)}
Eletrobras => {Eletropar (83.72%, final=13.92%), Celpa (34.79%, final=5.79%), Cemar (33.48%, final=5.57%), Ceee-D (32.23%, final=5.36%), Ceee-Gt (32.23%, final=5.36%), Tran Paulist (9.67%, final=1.61%), Cemat (5.14%, final=0.85%), AES Tiete (0.08%, final=0.01%), Cesp (0.03%, final=0.01%), Celpe (0.03%, final=0.01%), Celesc (0.03%, final=0.00%)}
Marfrig => {Excelsior (53.89%, final=7.51%)}
Light => {Renova (29.73%, final=4.02%)}
CPFL Energia => {CPFL Piratininga (100.00%, final=8.42%), CPFL Geracao (100.00%, final=8.42%), Paul F Luz (100.00%, final=8.42%), Rio Gde Ener (100.00%, final=8.42%)}
Vale => {Caemi (100.00%, final=6.86%), Log-In (33.56%, final=2.30%)}
Petrobras => {Petroquisa => {Copesul (15.63%, final=0.36%)}, Braskem => {Quattor Petr (100.00%, final=1.10%)}}
Inepar => {Inepar Tel (56997.67%, final=1298.90%)}
Oi => {Telemar N L (100.00%, final=0.90%)}
AES Elpa => {Eletropaulo (77.81%, final=0.00%)}","",
9,"",Ultrapar,Ultrapar,'33256439000139',48661.30,48661.30,-,48661.30,0.00,Economatica,Ipiranga Dis (100.00%) Ipiranga Pet (100.00%) Ipiranga Ref (100.00%),"","","",Ultra S/A Participacoes (24.03%) Aberdeen Asset Management Plc (12.16%) Parth Investiments Company (7.99%) Previ Cx Prev Funcs Bco Brasil (6.00%) Acoes em Tesouraria (1.53%),
10,sim,P.Acucar-Cbd,,'47508411000156',-,46594.49,-,46594.49,0.00,Economatica,"","","","",Wilkes Participacoes S/A (65.61%) Sudaco Participacoes Ltda (28.71%) Casino Guichard Perrachon (5.62%) Abilio Dos Santos Diniz (0.00%) Ana Maria Falleiros Dos Santos Diniz D'Avila (0.00%),
